sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN696939_c2_g1,AZ1,AZ2,-3.71998843035243,6.50537750962479,6.25548770306577e-07,0.000163987143308429
TRINITY_DN695116_c0_g1,AZ1,AZ2,-3.90290392679046,5.39492594806466,6.40754436700125e-07,0.000165503101855897
TRINITY_DN697779_c3_g2,AZ1,AZ2,-3.91827942144383,5.27417453632075,6.87611923241863e-07,0.000175032113330726
TRINITY_DN696531_c1_g1,AZ1,AZ2,-3.60117108903915,8.26154401050268,7.87093110137677e-07,0.000197492905520831
TRINITY_DN697359_c2_g4,AZ1,AZ2,3.65698940949319,6.59678389926723,8.29180962460287e-07,0.000205123020065528
TRINITY_DN700542_c8_g3,AZ1,AZ2,-3.70212372468188,6.02379643663984,9.52529845987666e-07,0.000232364364096213
TRINITY_DN700334_c3_g4,AZ1,AZ2,-3.84439432919654,5.13337698143221,1.19042073296404e-06,0.000286418489777813
TRINITY_DN694587_c10_g1,AZ1,AZ2,-3.75230588508787,5.4371597303096,1.25131626972101e-06,0.000297001607586213
TRINITY_DN695611_c3_g1,AZ1,AZ2,-3.80548944497539,4.94063577664076,1.26926156702778e-06,0.000297244135510345
TRINITY_DN694685_c1_g1,AZ1,AZ2,-3.81562426259687,4.8645734173209,1.34879236233883e-06,0.000310970586002775
TRINITY_DN698390_c1_g1,AZ1,AZ2,-3.65441687688896,5.86575591005526,1.36328485095728e-06,0.000310970586002775
TRINITY_DN695116_c0_g2,AZ1,AZ2,-3.8466932946472,4.70546109119707,1.43280231588711e-06,0.000322077769834034
TRINITY_DN698789_c3_g1,AZ1,AZ2,-3.72772283586286,5.41455054786637,1.44865314375362e-06,0.000322077769834034
TRINITY_DN699436_c5_g3,AZ1,AZ2,-3.7907448667405,5.15646943391181,1.47370107288902e-06,0.000323551070552785
TRINITY_DN696500_c2_g1,AZ1,AZ2,-3.56577561657888,6.41545399431025,1.49312175728351e-06,0.000323767784505278
TRINITY_DN697969_c4_g6,AZ1,AZ2,-3.8076599533234,4.76652219899254,1.55626264557801e-06,0.00033334386715771
TRINITY_DN690436_c27_g1,AZ1,AZ2,-3.64324894116457,5.7315616882232,1.61413511024394e-06,0.000341574326220778
TRINITY_DN697931_c1_g2,AZ1,AZ2,-3.56004047669742,6.2481157418891,1.71467720757417e-06,0.000358530838974199
TRINITY_DN698443_c3_g1,AZ1,AZ2,-3.61685758725354,5.74987230144011,1.81035090185815e-06,0.000374082391061607
TRINITY_DN692711_c0_g1,AZ1,AZ2,-3.84814202403418,4.49098478030516,1.93350898463993e-06,0.000393533953215156
TRINITY_DN698849_c4_g3,AZ1,AZ2,-3.88298281175856,4.40146758403196,1.94929708094503e-06,0.000393533953215156
TRINITY_DN698454_c0_g1,AZ1,AZ2,-3.65670373018494,5.29154646790712,2.30812777162191e-06,0.000460681320235992
TRINITY_DN685065_c18_g1,AZ1,AZ2,-3.70222965485102,4.76080563443683,2.53324865573862e-06,0.000499932352689811
TRINITY_DN696327_c0_g1,AZ1,AZ2,-3.44512769336418,6.76126724878332,2.69907412959605e-06,0.000526739311246945
TRINITY_DN696713_c3_g2,AZ1,AZ2,-3.69384416057826,4.46215498359803,3.93740190152956e-06,0.000759961835147969
TRINITY_DN693983_c4_g1,AZ1,AZ2,-3.51456480796243,5.43032657412886,3.99254473697119e-06,0.000762228866958283
TRINITY_DN695113_c1_g1,AZ1,AZ2,-3.47673946464458,5.53581664813885,4.40514063455555e-06,0.000831955807584233
TRINITY_DN700137_c1_g3,AZ1,AZ2,-3.54390933287359,5.1886919550978,4.46200862433396e-06,0.000833731058274486
TRINITY_DN698750_c14_g1,AZ1,AZ2,-3.34510311408901,6.61340999870249,4.93839112388039e-06,0.000906900483012829
TRINITY_DN695655_c1_g5,AZ1,AZ2,3.46263809966944,5.30942919799167,4.95686895748301e-06,0.000906900483012829
TRINITY_DN700314_c3_g4,AZ1,AZ2,-3.5976121721534,4.83128667388408,5.29483028634359e-06,0.000952521919531916
TRINITY_DN690021_c2_g1,AZ1,AZ2,-3.6724228891117,4.33104137394401,5.33444997730106e-06,0.000952521919531916
TRINITY_DN699782_c2_g2,AZ1,AZ2,-3.61198272495931,4.4915687741086,5.36891767442836e-06,0.000952521919531916
TRINITY_DN700471_c1_g1,AZ1,AZ2,-3.54656690171441,4.78501182735661,7.0924795863999e-06,0.00124572311455528
TRINITY_DN700028_c5_g1,AZ1,AZ2,-3.46118303818938,5.05352968779127,7.51351830571768e-06,0.00130660827249134
TRINITY_DN697449_c0_g3,AZ1,AZ2,-3.60874872521647,4.27351794269585,7.66244615052818e-06,0.00130663305036774
TRINITY_DN700151_c5_g6,AZ1,AZ2,-3.60874872521647,4.27351794269585,7.66244615052818e-06,0.00130663305036774
TRINITY_DN694517_c4_g1,AZ1,AZ2,-3.56693427418869,4.34738000481892,8.12177845105018e-06,0.00137164342994467
TRINITY_DN682612_c0_g1,AZ1,AZ2,-3.58057532599528,4.24814336020169,8.5182722106385e-06,0.00141497563371177
TRINITY_DN695660_c1_g1,AZ1,AZ2,-3.55806311003529,4.33939289303689,8.53947945647048e-06,0.00141497563371177
TRINITY_DN699798_c1_g2,AZ1,AZ2,-3.52159373627898,4.41003574180085,8.97079974641446e-06,0.00146056434770183
TRINITY_DN699450_c1_g4,AZ1,AZ2,-3.60669179466247,4.15072308239947,8.98092402367328e-06,0.00146056434770183
TRINITY_DN684826_c8_g7,AZ1,AZ2,-3.56148268662267,4.23097494988471,9.48022507300841e-06,0.00152762085488367
TRINITY_DN695816_c4_g6,AZ1,AZ2,3.39667629329386,4.79160401662894,9.88775164275593e-06,0.00157880427139423
TRINITY_DN699413_c1_g1,AZ1,AZ2,-3.42432334659754,4.95748786933734,1.00278378582885e-05,0.00158674724453134
TRINITY_DN676467_c0_g1,AZ1,AZ2,-3.37881645360084,5.09719337793371,1.04389348391989e-05,0.00163704867424722
