sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN699321_c2_g1_i5,AZ1,AZ3,-3.3503380612898,5.61924690155587,6.52062636682279e-06,0.00125872061770734
TRINITY_DN696837_c1_g3_i2,AZ1,AZ3,3.66932407437712,4.61236226018665,6.63124187495665e-06,0.00127072987549808
TRINITY_DN687880_c15_g1_i1,AZ1,AZ3,-3.31137232015076,5.9996725531572,6.72269058586233e-06,0.00127891881123655
TRINITY_DN649735_c0_g1_i1,AZ1,AZ3,3.75262755304089,4.2933110046807,6.90012105388282e-06,0.00130322933832795
TRINITY_DN691736_c16_g1_i2,AZ1,AZ3,-3.19790319575805,9.31206916802619,7.13625469680187e-06,0.00133820067539385
TRINITY_DN697748_c19_g2_i1,AZ1,AZ3,-3.38483848930093,5.01871864581383,7.28531988273505e-06,0.00134169017939605
TRINITY_DN681574_c9_g2_i10,AZ1,AZ3,-3.27342395819057,6.50539201761518,7.30161314151718e-06,0.00134169017939605
TRINITY_DN691280_c1_g2_i2,AZ1,AZ3,-3.31838010228555,5.76041259118964,7.30818175650916e-06,0.00134169017939605
TRINITY_DN700735_c4_g1_i6,AZ1,AZ3,3.80434881254201,3.99928615976358,7.84901135190575e-06,0.00143097288209432
TRINITY_DN688822_c8_g1_i1,AZ1,AZ3,-3.41089473004891,4.9461943947468,8.24686388322471e-06,0.00148780246023469
TRINITY_DN697728_c10_g1_i3,AZ1,AZ3,-3.66343138320416,3.78334585055798,8.2740699803552e-06,0.00148780246023469
TRINITY_DN700146_c0_g1_i12,AZ1,AZ3,-3.23323387128993,6.48442270323114,8.36338631636173e-06,0.00149363252356085
TRINITY_DN683367_c12_g2_i6,AZ1,AZ3,-3.37130508133331,5.18175110848969,8.46775492703166e-06,0.00149518893143776
TRINITY_DN691422_c4_g2_i8,AZ1,AZ3,3.79238244745521,4.16888956792635,8.48600734332177e-06,0.00149518893143776
TRINITY_DN689373_c6_g2_i1,AZ1,AZ3,-3.45162975960601,4.64878498813644,8.55689437119834e-06,0.00149762765284713
TRINITY_DN693729_c12_g1_i1,AZ1,AZ3,-3.35951688986388,5.0414676126323,8.7593028508825e-06,0.00152290051486237
TRINITY_DN697540_c7_g1_i14,AZ1,AZ3,-3.61603982919573,4.0851693169677,8.98092402367328e-06,0.0015511591999572
TRINITY_DN695643_c9_g7_i2,AZ1,AZ3,-3.3805112221696,4.86770678410397,9.43562614327465e-06,0.00161904243881954
TRINITY_DN691472_c17_g1_i6,AZ1,AZ3,-3.61593105600528,3.97870345764218,9.52671656740514e-06,0.00162405772755901
TRINITY_DN698964_c0_g1_i3,AZ1,AZ3,-3.6158043694127,3.86388513394698,1.01785969664328e-05,0.00172399165264362
TRINITY_DN696837_c1_g1_i3,AZ1,AZ3,3.60218953507707,4.30296363329305,1.10146347412908e-05,0.00185363593501992
TRINITY_DN697581_c3_g2_i9,AZ1,AZ3,-3.13460622224951,8.09090371248012,1.11617540989851e-05,0.0018664301296857
TRINITY_DN692765_c8_g1_i2,AZ1,AZ3,-3.30860581157718,5.03954877064077,1.17714380568022e-05,0.00195592128674195
TRINITY_DN689321_c5_g2_i1,AZ1,AZ3,-3.58290173279163,3.70921246567034,1.26658432670522e-05,0.00206880702203861
